true_label,champion_prediction,errors
pending_top_up,top_up_reverted,1
pending_top_up,topping_up_by_card,1
pending_transfer,pending_card_payment,1
pending_transfer,transfer_not_received_by_recipient,1
pin_blocked,card_linking,1
pin_blocked,card_swallowed,1
receiving_money,exchange_via_app,1
receiving_money,top_up_by_bank_transfer_charge,1
receiving_money,transfer_into_account,1
request_refund,Refund_not_showing_up,1
request_refund,card_payment_wrong_exchange_rate,1
request_refund,terminate_account,1
reverted_card_payment?,card_not_working,1
reverted_card_payment?,card_payment_not_recognised,1
reverted_card_payment?,top_up_failed,1
top_up_by_bank_transfer_charge,failed_transfer,1
top_up_by_bank_transfer_charge,top_up_by_card_charge,1
top_up_by_bank_transfer_charge,transfer_fee_charged,1
top_up_by_bank_transfer_charge,transfer_into_account,1
top_up_by_cash_or_cheque,apple_pay_or_google_pay,1
top_up_by_cash_or_cheque,top_up_limits,1
top_up_failed,pending_top_up,1
top_up_failed,top_up_by_cash_or_cheque,1
top_up_limits,disposable_card_limits,1
top_up_limits,top_up_failed,1
top_up_reverted,balance_not_updated_after_cheque_or_cash_deposit,1
top_up_reverted,pending_top_up,1
top_up_reverted,request_refund,1
topping_up_by_card,balance_not_updated_after_bank_transfer,1
topping_up_by_card,card_linking,1
topping_up_by_card,pending_top_up,1
topping_up_by_card,top_up_limits,1
topping_up_by_card,transfer_fee_charged,1
topping_up_by_card,transfer_into_account,1
transfer_fee_charged,extra_charge_on_statement,1
transfer_into_account,balance_not_updated_after_bank_transfer,1
transfer_into_account,failed_transfer,1
transfer_into_account,pending_transfer,1
transfer_into_account,supported_cards_and_currencies,1
transfer_not_received_by_recipient,pending_transfer,1
transfer_not_received_by_recipient,transfer_timing,1
transfer_timing,failed_transfer,1
transfer_timing,pending_top_up,1
unable_to_verify_identity,beneficiary_not_allowed,1
unable_to_verify_identity,verify_top_up,1
verify_my_identity,edit_personal_details,1
virtual_card_not_working,automatic_top_up,1
virtual_card_not_working,declined_card_payment,1
virtual_card_not_working,disposable_card_limits,1
virtual_card_not_working,getting_virtual_card,1
visa_or_mastercard,country_support,1
visa_or_mastercard,declined_card_payment,1
visa_or_mastercard,supported_cards_and_currencies,1
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,1
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,1
